GameDate,Stadium,Status,StartTime,HomeTeam,AwayTeam,HomeScore,AwayScore,HomePitcher,AwayPitcher,WinPitcher,SavePitcher,LosePitcher
20250615,잠실,경기종료,17:00,두산,키움,3,2,,,곽빈,김택연,정현우
20250615,문학,경기종료,17:00,SSG,롯데,1,0,,,앤더슨,조병현,이민석
20250615,대구,경기종료,17:00,삼성,KT,4,16,,,고영표,,최원태
20250615,창원,경기종료,17:00,NC,KIA,2,4,,,네일,정해영,로건
20250615,대전(신),경기종료,17:00,한화,LG,10,5,,,황준서,,송승기
20250617,잠실,경기종료,18:30,LG,NC,2,6,,,라일리,,에르난데스
20250617,사직,경기종료,18:30,롯데,한화,0,6,,,와이스,,데이비슨
20250617,대구,경기종료,18:30,삼성,두산,12,1,,,원태인,,콜어빈
20250617,광주,경기종료,18:30,KIA,KT,10,3,,,김도현,,헤이수스
20250617,고척,경기종료,18:30,키움,SSG,1,11,,,화이트,,김윤하
20250618,잠실,경기종료,18:30,LG,NC,9,8,,,유영찬,,류진욱
20250618,사직,경기종료,18:30,롯데,한화,6,3,,,김강현,김원중,엄상백
20250618,대구,경기종료,18:30,삼성,두산,6,3,,,김재윤,,김택연
20250618,광주,경기종료,18:30,KIA,KT,5,3,,,전상현,정해영,전용주
20250618,고척,경기종료,18:30,키움,SSG,3,2,,,하영민,원종현,김건우
20250619,잠실,경기종료,18:30,LG,NC,0,3,,,신민혁,류진욱,최채흥
20250619,사직,경기종료,18:30,롯데,한화,4,3,,,나균안,김원중,황준서
20250619,대구,경기종료,18:30,삼성,두산,8,9,,,이영하,김택연,배찬승
20250619,광주,경기종료,18:30,KIA,KT,5,0,,,올러,,배제성
20250619,고척,경기종료,18:30,키움,SSG,2,4,,,노경은,이로운,오석주
20250620,잠실,경기취소,18:30,LG,두산,,,에르난데스,최승용,,,
20250620,문학,경기취소,18:30,SSG,KIA,,,김광현,양현종,,,
20250620,사직,경기종료,18:30,롯데,삼성,3,1,,,감보아,김원중,김대호
20250620,수원,경기취소,18:30,KT,NC,,,쿠에바스,목지훈,,,
20250620,대전(신),경기취소,18:30,한화,키움,,,폰세,알칸타라,,,
20250621,잠실,경기종료,17:00,LG,두산,5,6,,,곽빈,김택연,손주영
20250621,문학,경기종료,17:00,SSG,KIA,5,5,,,,,
20250621,사직,경기취소,17:00,롯데,삼성,,,박세웅,최원태,,,
20250621,수원,경기종료,17:00,KT,NC,7,5,,,최용준,박영현,배재환
20250621,대전(신),경기취소,17:00,한화,키움,,,폰세,정현우,,,
20250622,잠실,경기종료,17:00,LG,두산,13,5,,,송기,,최승용
20250622,문학,경기종료,17:00,SSG,KIA,4,5,,,이호민,정해영,노경은
20250622,사직,경기종료,17:00,롯데,삼성,9,6,,,윤성빈,최준용,김태훈
20250622,수원,경기종료,17:00,KT,NC,0,2,,,로건,류진욱,쿠에바스
