Player_name,Img,Team,Back_no,Position,Height/Weight,Record
가라비토,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55460.jpg,삼성,60,투수(우투우타),183cm/100kg,"[{'Year': '2025', 'Team': '삼성', 'ERA': '0.90', 'Win': '0', 'Lose': '1'}, {'ERA': '0.90', 'Win': '0', 'Lose': '1'}]"
감보아,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55532.jpg,롯데,32,투수(좌투양타),185cm/92kg,"[{'Year': '2025', 'Team': '롯데', 'ERA': '2.11', 'Win': '6', 'Lose': '1'}, {'ERA': '2.11', 'Win': '6', 'Lose': '1'}]"
고영표,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64001.jpg,KT,1,투수(우언우타),187cm/88kg,"[{'Year': '2015', 'Team': 'KT', 'ERA': '5.68', 'Win': '3', 'Lose': '4'}, {'Year': '2016', 'Team': 'KT', 'ERA': '5.59', 'Win': '2', 'Lose': '4'}, {'Year': '2017', 'Team': 'KT', 'ERA': '5.08', 'Win': '8', 'Lose': '12'}, {'Year': '2018', 'Team': 'KT', 'ERA': '5.13', 'Win': '6', 'Lose': '9'}, {'Year': '2021', 'Team': 'KT', 'ERA': '2.92', 'Win': '11', 'Lose': '6'}, {'Year': '2022', 'Team': 'KT', 'ERA': '3.26', 'Win': '13', 'Lose': '8'}, {'Year': '2023', 'Team': 'KT', 'ERA': '2.78', 'Win': '12', 'Lose': '7'}, {'Year': '2024', 'Team': 'KT', 'ERA': '4.95', 'Win': '6', 'Lose': '8'}, {'Year': '2025', 'Team': 'KT', 'ERA': '3.45', 'Win': '7', 'Lose': '4'}, {'ERA': '4.02', 'Win': '68', 'Lose': '62'}]"
곽빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68220.jpg,두산,47,투수(우투우타),187cm/95kg,"[{'Year': '2018', 'Team': '두산', 'ERA': '7.55', 'Win': '3', 'Lose': '1'}, {'Year': '2021', 'Team': '두산', 'ERA': '4.10', 'Win': '4', 'Lose': '7'}, {'Year': '2022', 'Team': '두산', 'ERA': '3.78', 'Win': '8', 'Lose': '9'}, {'Year': '2023', 'Team': '두산', 'ERA': '2.90', 'Win': '12', 'Lose': '7'}, {'Year': '2024', 'Team': '두산', 'ERA': '4.24', 'Win': '15', 'Lose': '9'}, {'Year': '2025', 'Team': '두산', 'ERA': '4.64', 'Win': '2', 'Lose': '2'}, {'ERA': '4.01', 'Win': '44', 'Lose': '35'}]"
구승민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63543.jpg,롯데,22,투수(우투우타),182cm/86kg,"[{'Year': '2014', 'Team': '롯데', 'ERA': '0.00', 'Win': '0', 'Lose': '0'}, {'Year': '2015', 'Team': '롯데', 'ERA': '10.24', 'Win': '0', 'Lose': '2'}, {'Year': '2018', 'Team': '롯데', 'ERA': '3.67', 'Win': '7', 'Lose': '4'}, {'Year': '2019', 'Team': '롯데', 'ERA': '6.25', 'Win': '1', 'Lose': '4'}, {'Year': '2020', 'Team': '롯데', 'ERA': '3.58', 'Win': '5', 'Lose': '2'}, {'Year': '2021', 'Team': '롯데', 'ERA': '4.33', 'Win': '6', 'Lose': '5'}, {'Year': '2022', 'Team': '롯데', 'ERA': '2.90', 'Win': '2', 'Lose': '4'}, {'Year': '2023', 'Team': '롯데', 'ERA': '3.96', 'Win': '2', 'Lose': '6'}, {'Year': '2024', 'Team': '롯데', 'ERA': '4.84', 'Win': '5', 'Lose': '3'}, {'Year': '2025', 'Team': '롯데', 'ERA': '10.80', 'Win': '0', 'Lose': '1'}, {'ERA': '4.54', 'Win': '28', 'Lose': '31'}]"
김광현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77829.jpg,SSG,29,투수(좌투좌타),188cm/88kg,"[{'Year': '2007', 'Team': 'SK', 'ERA': '3.62', 'Win': '3', 'Lose': '7'}, {'Year': '2008', 'Team': 'SK', 'ERA': '2.39', 'Win': '16', 'Lose': '4'}, {'Year': '2009', 'Team': 'SK', 'ERA': '2.80', 'Win': '12', 'Lose': '2'}, {'Year': '2010', 'Team': 'SK', 'ERA': '2.37', 'Win': '17', 'Lose': '7'}, {'Year': '2011', 'Team': 'SK', 'ERA': '4.84', 'Win': '4', 'Lose': '6'}, {'Year': '2012', 'Team': 'SK', 'ERA': '4.30', 'Win': '8', 'Lose': '5'}, {'Year': '2013', 'Team': 'SK', 'ERA': '4.47', 'Win': '10', 'Lose': '9'}, {'Year': '2014', 'Team': 'SK', 'ERA': '3.42', 'Win': '13', 'Lose': '9'}, {'Year': '2015', 'Team': 'SK', 'ERA': '3.72', 'Win': '14', 'Lose': '6'}, {'Year': '2016', 'Team': 'SK', 'ERA': '3.88', 'Win': '11', 'Lose': '8'}, {'Year': '2018', 'Team': 'SK', 'ERA': '2.98', 'Win': '11', 'Lose': '8'}, {'Year': '2019', 'Team': 'SK', 'ERA': '2.51', 'Win': '17', 'Lose': '6'}, {'Year': '2022', 'Team': 'SSG', 'ERA': '2.13', 'Win': '13', 'Lose': '3'}, {'Year': '2023', 'Team': 'SSG', 'ERA': '3.53', 'Win': '9', 'Lose': '8'}, {'Year': '2024', 'Team': 'SSG', 'ERA': '4.93', 'Win': '12', 'Lose': '10'}, {'Year': '2025', 'Team': 'SSG', 'ERA': '4.31', 'Win': '5', 'Lose': '7'}, {'ERA': '3.37', 'Win': '175', 'Lose': '105'}]"
김대호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54401.jpg,삼성,44,투수(우투우타),185cm/100kg,"[{'Year': '2024', 'Team': '삼성', 'ERA': '11.25', 'Win': '0', 'Lose': '1'}, {'Year': '2025', 'Team': '삼성', 'ERA': '4.91', 'Win': '0', 'Lose': '1'}, {'ERA': '6.27', 'Win': '0', 'Lose': '2'}]"
김도현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69745.jpg,KIA,60,투수(우투우타),183cm/87kg,"[{'Year': '2019', 'Team': '한화', 'ERA': '4.26', 'Win': '4', 'Lose': '3'}, {'Year': '2020', 'Team': '한화', 'ERA': '6.82', 'Win': '2', 'Lose': '7'}, {'Year': '2021', 'Team': '한화', 'ERA': '7.62', 'Win': '0', 'Lose': '1'}, {'Year': '2022', 'Team': 'KIA', 'ERA': '7.59', 'Win': '0', 'Lose': '1'}, {'Year': '2024', 'Team': 'KIA', 'ERA': '4.92', 'Win': '4', 'Lose': '6'}, {'Year': '2025', 'Team': 'KIA', 'ERA': '3.44', 'Win': '3', 'Lose': '3'}, {'ERA': '5.16', 'Win': '13', 'Lose': '21'}]"
김민,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68043.jpg,SSG,41,투수(우투우타),185cm/88kg,"[{'Year': '2018', 'Team': 'KT', 'ERA': '5.06', 'Win': '4', 'Lose': '2'}, {'Year': '2019', 'Team': 'KT', 'ERA': '4.96', 'Win': '6', 'Lose': '12'}, {'Year': '2020', 'Team': 'KT', 'ERA': '6.54', 'Win': '3', 'Lose': '3'}, {'Year': '2022', 'Team': 'KT', 'ERA': '2.35', 'Win': '0', 'Lose': '0'}, {'Year': '2023', 'Team': 'KT', 'ERA': '6.83', 'Win': '1', 'Lose': '2'}, {'Year': '2024', 'Team': 'KT', 'ERA': '4.31', 'Win': '8', 'Lose': '4'}, {'Year': '2025', 'Team': 'SSG', 'ERA': '4.19', 'Win': '2', 'Lose': '1'}, {'ERA': '5.03', 'Win': '24', 'Lose': '24'}]"
김서현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53754.jpg,한화,44,투수(우투우타),188cm/86kg,"[{'Year': '2023', 'Team': '한화', 'ERA': '7.25', 'Win': '0', 'Lose': '0'}, {'Year': '2024', 'Team': '한화', 'ERA': '3.76', 'Win': '1', 'Lose': '2'}, {'Year': '2025', 'Team': '한화', 'ERA': '1.59', 'Win': '1', 'Lose': '1'}, {'ERA': '3.68', 'Win': '2', 'Lose': '3'}]"
김원중,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62528.jpg,롯데,34,투수(우투좌타),192cm/96kg,"[{'Year': '2015', 'Team': '롯데', 'ERA': '5.75', 'Win': '0', 'Lose': '0'}, {'Year': '2016', 'Team': '롯데', 'ERA': '9.39', 'Win': '0', 'Lose': '1'}, {'Year': '2017', 'Team': '롯데', 'ERA': '5.70', 'Win': '7', 'Lose': '8'}, {'Year': '2018', 'Team': '롯데', 'ERA': '6.94', 'Win': '8', 'Lose': '7'}, {'Year': '2019', 'Team': '롯데', 'ERA': '5.63', 'Win': '5', 'Lose': '10'}, {'Year': '2020', 'Team': '롯데', 'ERA': '3.94', 'Win': '5', 'Lose': '4'}, {'Year': '2021', 'Team': '롯데', 'ERA': '3.59', 'Win': '4', 'Lose': '4'}, {'Year': '2022', 'Team': '롯데', 'ERA': '3.98', 'Win': '2', 'Lose': '3'}, {'Year': '2023', 'Team': '롯데', 'ERA': '2.97', 'Win': '5', 'Lose': '6'}, {'Year': '2024', 'Team': '롯데', 'ERA': '3.55', 'Win': '3', 'Lose': '6'}, {'Year': '2025', 'Team': '롯데', 'ERA': '1.69', 'Win': '3', 'Lose': '1'}, {'ERA': '4.90', 'Win': '42', 'Lose': '50'}]"
김진성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/ㅔ75867.jpg,LG,42,투수(우투우타),186cm/90kg,"[{'Year': '2013', 'Team': 'NC', 'ERA': '4.76', 'Win': '1', 'Lose': '2'}, {'Year': '2014', 'Team': 'NC', 'ERA': '4.10', 'Win': '3', 'Lose': '3'}, {'Year': '2015', 'Team': 'NC', 'ERA': '4.50', 'Win': '3', 'Lose': '4'}, {'Year': '2016', 'Team': 'NC', 'ERA': '4.48', 'Win': '6', 'Lose': '8'}, {'Year': '2017', 'Team': 'NC', 'ERA': '3.61', 'Win': '10', 'Lose': '6'}, {'Year': '2018', 'Team': 'NC', 'ERA': '7.15', 'Win': '3', 'Lose': '2'}, {'Year': '2019', 'Team': 'NC', 'ERA': '4.29', 'Win': '1', 'Lose': '2'}, {'Year': '2020', 'Team': 'NC', 'ERA': '2.66', 'Win': '3', 'Lose': '0'}, {'Year': '2021', 'Team': 'NC', 'ERA': '7.17', 'Win': '2', 'Lose': '4'}, {'Year': '2022', 'Team': 'LG', 'ERA': '3.10', 'Win': '6', 'Lose': '3'}, {'Year': '2023', 'Team': 'LG', 'ERA': '2.18', 'Win': '5', 'Lose': '1'}, {'Year': '2024', 'Team': 'LG', 'ERA': '3.97', 'Win': '3', 'Lose': '3'}, {'Year': '2025', 'Team': 'LG', 'ERA': '3.67', 'Win': '2', 'Lose': '2'}, {'ERA': '4.11', 'Win': '48', 'Lose': '40'}]"
김태훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55995.jpg,NC,95,투수(우투우타),188cm/88kg,"[{'Year': '2025', 'Team': 'NC', 'ERA': '4.63', 'Win': '0', 'Lose': '0'}, {'ERA': '4.63', 'Win': '0', 'Lose': '0'}]"
김택연,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54263.jpg,두산,63,투수(우투우타),181cm/88kg,"[{'Year': '2024', 'Team': '두산', 'ERA': '2.08', 'Win': '3', 'Lose': '2'}, {'Year': '2025', 'Team': '두산', 'ERA': '2.85', 'Win': '1', 'Lose': '2'}, {'ERA': '2.38', 'Win': '4', 'Lose': '4'}]"
